Road_Name,Road_Type,Segment_Index,Start_Lat,Start_Lon,End_Lat,End_Lon,Length_Meters,Dist_to_Intersection_m,No_of_Lanes,Speed_Limit_kmh,Road_Surface
Dakanu Dagoba Mawatha,primary,4,8.339681,80.39512,8.338757,80.395294,103.95,51.93,2,50,asphalt
Mihindu Mawatha,primary,1,8.338757,80.395294,8.340468,80.395854,200.0,99.13,2,50,asphalt
Mihindu Mawatha,primary,2,8.340468,80.395854,8.342217,80.396318,200.0,225.04,2,50,asphalt
Mihindu Mawatha,primary,3,8.342217,80.396318,8.342515,80.396395,33.98,108.27,2,50,asphalt
Old Puttalam Road,primary,1,8.327786,80.361388,8.328745,80.362928,200.0,139.2,2,50,asphalt
Old Puttalam Road,primary,2,8.328745,80.362928,8.329696,80.364473,200.0,286.27,2,50,asphalt
Old Puttalam Road,primary,3,8.329696,80.364473,8.330659,80.36601,200.0,473.77,2,50,asphalt
Old Puttalam Road,primary,4,8.330659,80.36601,8.33161,80.367555,200.0,668.63,2,50,asphalt
Old Puttalam Road,primary,5,8.33161,80.367555,8.333024,80.368518,200.0,862.72,2,50,asphalt
Old Puttalam Road,primary,6,8.333024,80.368518,8.334647,80.369248,200.0,1039.82,2,50,asphalt
Old Puttalam Road,primary,7,8.334647,80.369248,8.33632,80.369742,200.0,1222.49,2,50,asphalt
Old Puttalam Road,primary,8,8.33632,80.369742,8.337201,80.371292,200.0,1408.15,2,50,asphalt
Old Puttalam Road,primary,9,8.337201,80.371292,8.33809,80.372831,200.0,1587.84,2,50,asphalt
Old Puttalam Road,primary,10,8.33809,80.372831,8.33812,80.374644,200.0,1756.54,2,50,asphalt
Old Puttalam Road,primary,11,8.33812,80.374644,8.337481,80.376338,200.0,1877.81,2,50,asphalt
Old Puttalam Road,primary,12,8.337481,80.376338,8.337852,80.378023,200.0,1755.14,2,50,asphalt
Old Puttalam Road,primary,13,8.337852,80.378023,8.338937,80.379442,200.0,1609.6,2,50,asphalt
Old Puttalam Road,primary,14,8.338937,80.379442,8.340632,80.380065,200.0,1503.57,2,50,asphalt
Old Puttalam Road,primary,15,8.340632,80.380065,8.341858,80.381308,200.0,1363.27,2,50,asphalt
Old Puttalam Road,primary,16,8.341858,80.381308,8.342853,80.382759,200.0,1187.65,2,50,asphalt
Old Puttalam Road,primary,17,8.342853,80.382759,8.342814,80.38451,200.0,998.13,2,50,asphalt
Old Puttalam Road,primary,18,8.342814,80.38451,8.342428,80.386268,200.0,819.26,2,50,asphalt
Old Puttalam Road,primary,19,8.342428,80.386268,8.342884,80.387977,200.0,632.03,2,50,asphalt
Old Puttalam Road,primary,20,8.342884,80.387977,8.343878,80.389465,200.0,437.25,2,50,asphalt
Old Puttalam Road,primary,21,8.343878,80.389465,8.344501,80.391146,200.0,256.97,2,50,asphalt
Old Puttalam Road,primary,22,8.344501,80.391146,8.344635,80.391659,58.45,137.12,2,50,asphalt
Sangamitta Mawatha,secondary,1,8.370433,80.400778,8.368716,80.400618,200.0,95.78,2,50,asphalt
Sangamitta Mawatha,secondary,2,8.368716,80.400618,8.366946,80.40045,200.0,288.4,2,50,asphalt
Sangamitta Mawatha,secondary,3,8.366946,80.40045,8.365542,80.400867,200.0,465.85,2,50,asphalt
Sangamitta Mawatha,secondary,4,8.365542,80.400867,8.364103,80.400026,200.0,613.17,2,50,asphalt
Sangamitta Mawatha,secondary,5,8.364103,80.400026,8.362478,80.400794,200.0,793.78,2,50,asphalt
Sangamitta Mawatha,secondary,6,8.362478,80.400794,8.360771,80.400865,200.0,796.82,2,50,asphalt
Sangamitta Mawatha,secondary,7,8.360771,80.400865,8.359113,80.400162,200.0,616.33,2,50,asphalt
Sangamitta Mawatha,secondary,8,8.359113,80.400162,8.357426,80.399508,200.0,429.95,2,50,asphalt
Sangamitta Mawatha,secondary,9,8.357426,80.399508,8.355688,80.399008,200.0,275.12,2,50,asphalt
Sangamitta Mawatha,secondary,10,8.355688,80.399008,8.355514,80.398963,19.84,229.85,2,50,asphalt
Nanadana Mawatha,secondary,1,8.346927,80.400262,8.347564,80.40196,200.0,349.63,2,50,asphalt
Nanadana Mawatha,secondary,2,8.347564,80.40196,8.347627,80.402123,19.31,433.0,2,50,asphalt
Arippu Road,tertiary,1,8.347141,80.393321,8.348002,80.391859,200.0,265.16,2,50,asphalt
Arippu Road,tertiary,2,8.348002,80.391859,8.347788,80.390059,200.0,372.17,2,50,asphalt
Arippu Road,tertiary,3,8.347788,80.390059,8.347525,80.388271,200.0,513.95,2,50,asphalt
Arippu Road,tertiary,4,8.347525,80.388271,8.347019,80.386533,200.0,659.86,2,50,asphalt
Arippu Road,tertiary,5,8.347019,80.386533,8.346932,80.384719,200.0,824.41,2,50,asphalt
Arippu Road,tertiary,6,8.346932,80.384719,8.346895,80.383345,151.31,988.36,2,50,asphalt
Sri Maha Bodhi Mawatha (Market Street),primary,1,8.342314,80.411876,8.342617,80.410097,200.0,99.01,2,50,asphalt
Halpanu Ela Left Bank Road,secondary,1,8.345479,80.402765,8.347192,80.402187,200.0,290.04,2,50,asphalt
Halpanu Ela Left Bank Road,secondary,2,8.347192,80.402187,8.348776,80.401449,200.0,460.02,2,50,asphalt
Halpanu Ela Left Bank Road,secondary,3,8.348776,80.401449,8.3505,80.400928,200.0,381.93,2,50,asphalt
Halpanu Ela Left Bank Road,secondary,4,8.3505,80.400928,8.352302,80.400929,200.0,306.7,2,50,asphalt
Halpanu Ela Left Bank Road,secondary,5,8.352302,80.400929,8.353949,80.401554,200.0,380.69,2,50,asphalt
Halpanu Ela Left Bank Road,secondary,6,8.353949,80.401554,8.35458,80.403248,200.0,307.25,2,50,asphalt
Halpanu Ela Left Bank Road,secondary,7,8.35458,80.403248,8.355373,80.404365,151.91,135.72,2,50,asphalt
Kandy Road,trunk,1,8.354531,80.442824,8.352946,80.443666,200.0,99.78,2,50,asphalt
Kandy Road,trunk,2,8.352946,80.443666,8.351139,80.443743,200.0,291.96,2,50,asphalt
Kandy Road,trunk,3,8.351139,80.443743,8.349331,80.443821,200.0,486.55,2,50,asphalt
Kandy Road,trunk,4,8.349331,80.443821,8.347631,80.44427,200.0,683.69,2,50,asphalt
Kandy Road,trunk,5,8.347631,80.44427,8.346159,80.445322,200.0,871.25,2,50,asphalt
Kandy Road,trunk,6,8.346159,80.445322,8.34488,80.4466,200.0,1055.4,2,50,asphalt
Kandy Road,trunk,7,8.34488,80.4466,8.343638,80.447919,200.0,1236.53,2,50,asphalt
Kandy Road,trunk,8,8.343638,80.447919,8.342309,80.449129,200.0,1422.19,2,50,asphalt
